Index,Date,Time,Counter,Load 50 kN_Filtered,Posn,LVDT1,LVDT2,Avg_LVDT,Avg_displacement
0,44712.67822,0,1004,0.003959,13.443822,0.126701,0.127603,0.127152,2.082994
1,44712.67823,0.110133,1004,0.004211,13.443778,0.126749,0.127625,0.127187,2.083002
2,44712.67823,0.210133,1004,0.004097,13.443831,0.12676,0.12763,0.127195,2.082998
3,44712.67823,0.310133,1004,0.004062,13.443813,0.126754,0.127627,0.1271905,2.082998
4,44712.67823,0.410133,1004,0.00415,13.443843,0.126721,0.127617,0.127169,2.083009
5,44712.67823,0.510133,1004,0.004323,13.443808,0.126735,0.127621,0.127178,2.082985
6,44712.67823,0.610133,1004,0.004127,13.443825,0.126737,0.127636,0.1271865,2.082985
7,44712.67823,0.710133,1004,0.00425,13.443897,0.126741,0.127636,0.1271885,2.082987
8,44712.67823,0.810133,1004,0.004173,13.443752,0.12674,0.127628,0.127184,2.082987
9,44712.67823,0.910133,1004,0.004055,13.443731,0.12674,0.127625,0.1271825,2.082989
10,44712.67823,1.010133,1004,0.00402,13.443811,0.126753,0.127625,0.127189,2.082998
11,44712.67824,1.110132,1004,0.004037,13.443862,0.126754,0.127636,0.127195,2.08301
12,44712.67824,1.210132,1004,0.00418,13.44378,0.126759,0.127629,0.127194,2.083006
13,44712.67824,1.310132,1004,0.004593,13.443819,0.126758,0.127634,0.127196,2.082996
14,44712.67824,1.410132,1004,0.004891,13.443731,0.126745,0.127629,0.127187,2.082999
15,44712.67824,1.510132,1004,0.00457,13.443793,0.126745,0.127629,0.127187,2.082999
16,44712.67824,1.610132,1004,0.00451,13.443762,0.126756,0.127633,0.1271945,2.083
17,44712.67824,1.710132,1004,0.004268,13.443799,0.126765,0.127625,0.127195,2.082994
18,44712.67824,1.810132,1004,0.004382,13.443832,0.126766,0.127617,0.1271915,2.082993
19,44712.67825,1.910132,1004,0.004097,13.443828,0.126761,0.12762,0.1271905,2.082989
20,44712.67825,2.010132,1004,0.004243,13.443842,0.126763,0.127624,0.1271935,2.082993
21,44712.67825,2.110132,1004,0.004536,13.443825,0.126766,0.127626,0.127196,2.082998
22,44712.67825,2.210131,1004,0.004242,13.443883,0.126767,0.127627,0.127197,2.083008
23,44712.67825,2.310131,1004,0.004108,13.443845,0.126765,0.127632,0.1271985,2.08301
24,44712.67825,2.410131,1004,0.004534,13.443788,0.126762,0.127633,0.1271975,2.083002
25,44712.67825,2.510131,1004,0.00461,13.443879,0.126769,0.127626,0.1271975,2.082998
26,44712.67825,2.610131,1004,0.004419,13.44382,0.126766,0.127622,0.127194,2.082989
27,44712.67826,2.710131,1004,0.004045,13.443792,0.126767,0.127628,0.1271975,2.083015
28,44712.67826,2.810131,1004,0.004063,13.44378,0.126763,0.127629,0.127196,2.082997
29,44712.67826,2.910131,1004,0.0041,13.443771,0.126753,0.127629,0.127191,2.082997
30,44712.67826,3.010131,1004,0.004418,13.443851,0.126757,0.127633,0.127195,2.082997
31,44712.67826,3.110131,1004,0.004806,13.443875,0.126762,0.127636,0.127199,2.082994
32,44712.67826,3.21013,1004,0.004916,13.443839,0.126766,0.127628,0.127197,2.083002
33,44712.67826,3.31013,1004,0.004488,13.443811,0.12676,0.127628,0.127194,2.083002
34,44712.67826,3.41013,1004,0.004873,13.443838,0.126762,0.127634,0.127198,2.083002
35,44712.67826,3.51013,1004,0.005081,13.443865,0.126762,0.12763,0.127196,2.083002
36,44712.67827,3.61013,1004,0.00511,13.44375,0.126762,0.127628,0.127195,2.082983
37,44712.67827,3.71013,1004,0.005004,13.443807,0.126767,0.127628,0.1271975,2.083015
38,44712.67827,3.81013,1004,0.004814,13.443779,0.126756,0.127626,0.127191,2.083015
39,44712.67827,3.91013,1004,0.004746,13.4437,0.126758,0.127623,0.1271905,2.083006
40,44712.67827,4.01013,1004,0.00463,13.443793,0.12676,0.127631,0.1271955,2.082997
41,44712.67827,4.11013,1004,0.004732,13.443821,0.126765,0.12764,0.1272025,2.082997
42,44712.67827,4.210129,1004,0.004457,13.443891,0.126769,0.12763,0.1271995,2.083
43,44712.67827,4.310129,1004,0.004712,13.443894,0.126768,0.127631,0.1271995,2.08301
44,44712.67827,4.410129,1004,0.00486,13.44381,0.126776,0.127632,0.127204,2.08301
45,44712.67828,4.510129,1004,0.004972,13.443808,0.126783,0.127635,0.127209,2.08301
46,44712.67828,4.610129,1004,0.004812,13.443822,0.126772,0.127633,0.1272025,2.083024
47,44712.67828,4.710129,1004,0.004886,13.443844,0.126769,0.127628,0.1271985,2.083018
48,44712.67828,4.810129,1004,0.004866,13.443879,0.126765,0.127625,0.127195,2.083019
49,44712.67828,4.910129,1004,0.004897,13.443875,0.126766,0.127626,0.127196,2.083019
50,44712.67828,5.010129,1004,0.00471,13.443857,0.126766,0.127629,0.1271975,2.083027
51,44712.67828,5.110129,1004,0.004663,13.44388,0.126771,0.127634,0.1272025,2.083
52,44712.67828,5.210129,1004,0.004773,13.443852,0.126768,0.127627,0.1271975,2.082992
53,44712.67829,5.310128,1004,0.004451,13.443837,0.126765,0.12763,0.1271975,2.082992
54,44712.67829,5.410128,1004,0.004695,13.44388,0.126758,0.127641,0.1271995,2.08299
55,44712.67829,5.510128,1004,0.00489,13.443954,0.126758,0.127646,0.127202,2.08299
56,44712.67829,5.610128,1004,0.004664,13.443812,0.126761,0.127636,0.1271985,2.082989
57,44712.67829,5.710128,1004,0.004812,13.443817,0.126768,0.127631,0.1271995,2.082985
58,44712.67829,5.810128,1004,0.004402,13.443825,0.126769,0.127628,0.1271985,2.083024
59,44712.67829,5.910128,1004,0.004525,13.443781,0.126767,0.127627,0.127197,2.083025
60,44712.67829,6.010128,1004,0.004963,13.44378,0.126769,0.127622,0.1271955,2.083025
61,44712.67829,6.110128,1004,0.005368,13.443874,0.12677,0.127622,0.127196,2.083053
62,44712.6783,6.210128,1004,0.005458,13.443883,0.126763,0.127624,0.1271935,2.083039
63,44712.6783,6.310127,1004,0.00512,13.443884,0.126761,0.127633,0.127197,2.083039
64,44712.6783,6.410127,1004,0.005008,13.443916,0.126746,0.127635,0.1271905,2.083004
65,44712.6783,6.510127,1004,0.004948,13.443905,0.126747,0.127634,0.1271905,2.082978
66,44712.6783,6.610127,1004,0.004698,13.44387,0.126761,0.127632,0.1271965,2.082993
67,44712.6783,6.710127,1004,0.004616,13.443906,0.126753,0.12763,0.1271915,2.082993
68,44712.6783,6.810127,1004,0.004932,13.44382,0.126752,0.12763,0.127191,2.082991
69,44712.6783,6.910127,1004,0.005103,13.443843,0.126749,0.127628,0.1271885,2.082977
70,44712.6783,7.010127,1004,0.004662,13.443749,0.126736,0.127625,0.1271805,2.082989
71,44712.67831,7.110127,1004,0.004182,13.443831,0.126729,0.127626,0.1271775,2.082984
72,44712.67831,7.210127,1004,0.004166,13.443879,0.126745,0.127627,0.127186,2.082984
73,44712.67831,7.310127,1004,0.004617,13.443843,0.126752,0.127629,0.1271905,2.083
74,44712.67831,7.410126,1004,0.004444,13.443898,0.126747,0.127632,0.1271895,2.083017
75,44712.67831,7.510126,1004,0.004616,13.443898,0.126749,0.127626,0.1271875,2.083014
76,44712.67831,7.610126,1004,0.004422,13.443783,0.12675,0.127623,0.1271865,2.083003
77,44712.67831,7.710126,1004,0.004254,13.443895,0.126739,0.127619,0.127179,2.082993
78,44712.67831,7.810126,1004,0.004678,13.443771,0.126749,0.127618,0.1271835,2.082997
79,44712.67832,7.910126,1004,0.00486,13.443824,0.126758,0.127622,0.12719,2.083
80,44712.67832,8.010126,1004,0.004623,13.443781,0.126754,0.127635,0.1271945,2.083018
81,44712.67832,8.110126,1004,0.004282,13.44376,0.126758,0.127633,0.1271955,2.083011
82,44712.67832,8.210126,1004,0.003935,13.443829,0.126757,0.127628,0.1271925,2.083009
83,44712.67832,8.310126,1004,0.003945,13.443782,0.12675,0.127618,0.127184,2.083011
84,44712.67832,8.410125,1004,0.004631,13.443823,0.126753,0.127617,0.127185,2.083016
85,44712.67832,8.510125,1004,0.004891,13.443924,0.12675,0.127623,0.1271865,2.082997
86,44712.67832,8.610125,1004,0.00457,13.443826,0.12675,0.127628,0.127189,2.082997
87,44712.67832,8.710125,1004,0.004444,13.443768,0.126752,0.127625,0.1271885,2.082997
88,44712.67833,8.810125,1004,0.004385,13.443831,0.126795,0.12764,0.1272175,2.082997
89,44712.67833,8.910125,1004,0.004623,13.443777,0.1269,0.127686,0.127293,2.082997
90,44712.67833,9.010125,1004,0.004778,13.44377,0.127034,0.127739,0.1273865,2.082997
91,44712.67833,9.110125,1004,0.005236,13.44379,0.127184,0.127798,0.127491,2.083002
92,44712.67833,9.210125,1004,0.005524,13.443865,0.127324,0.127862,0.127593,2.083014
93,44712.67833,9.310125,1004,0.005958,13.443879,0.127453,0.127927,0.12769,2.083014
94,44712.67833,9.410125,1004,0.006069,13.443852,0.127591,0.127995,0.127793,2.083018
95,44712.67833,9.510124,1004,0.006267,13.443797,0.127734,0.128061,0.1278975,2.082997
96,44712.67833,9.610124,1004,0.006505,13.444094,0.12786,0.128134,0.127997,2.082985
97,44712.67834,9.710124,1004,0.00672,13.444208,0.127988,0.128201,0.1280945,2.082983
98,44712.67834,9.810124,1004,0.007131,13.444212,0.128114,0.128267,0.1281905,2.082979
99,44712.67834,9.910124,1004,0.007235,13.444225,0.128249,0.12833,0.1282895,2.082979
100,44712.67834,10.010124,1004,0.007315,13.444338,0.128381,0.128399,0.12839,2.082943
101,44712.67834,10.110124,1004,0.00757,13.444331,0.128511,0.12847,0.1284905,2.082958
102,44712.67834,10.210124,1004,0.007726,13.444306,0.128635,0.128537,0.128586,2.083002
103,44712.67834,10.310124,1004,0.007879,13.444779,0.12877,0.128603,0.1286865,2.083002
104,44712.67834,10.410124,1004,0.008631,13.44479,0.128896,0.128677,0.1287865,2.082973
105,44712.67835,10.510123,1004,0.008892,13.444776,0.129025,0.12874,0.1288825,2.082972
106,44712.67835,10.610123,1004,0.009059,13.444795,0.129163,0.128807,0.128985,2.082973
107,44712.67835,10.710123,1004,0.009009,13.444743,0.129295,0.128873,0.129084,2.082984
108,44712.67835,10.810123,1004,0.008906,13.445026,0.129426,0.128942,0.129184,2.082984
109,44712.67835,10.910123,1004,0.009294,13.445253,0.129557,0.129012,0.1292845,2.082993
110,44712.67835,11.010123,1004,0.009717,13.445236,0.129686,0.12909,0.129388,2.083
111,44712.67835,11.110123,1004,0.010386,13.445226,0.129808,0.129168,0.129488,2.082999
112,44712.67835,11.210123,1004,0.010432,13.445268,0.129944,0.129242,0.129593,2.082984
113,44712.67835,11.310123,1004,0.010715,13.445619,0.130074,0.129311,0.1296925,2.082984
114,44712.67836,11.410123,1004,0.01091,13.445671,0.130205,0.129382,0.1297935,2.082974
115,44712.67836,11.510123,1004,0.011108,13.445589,0.130333,0.129455,0.129894,2.082954
116,44712.67836,11.610122,1004,0.01115,13.445715,0.130471,0.129525,0.129998,2.082981
117,44712.67836,11.710122,1004,0.011248,13.445915,0.130601,0.129594,0.1300975,2.082981
118,44712.67836,11.810122,1004,0.01128,13.446058,0.130723,0.129666,0.1301945,2.083
119,44712.67836,11.910122,1004,0.011803,13.446069,0.130832,0.129738,0.130285,2.082986
120,44712.67836,12.010122,1004,0.011761,13.446077,0.130958,0.129812,0.130385,2.082986
121,44712.67836,12.110122,1004,0.012112,13.446101,0.131093,0.129889,0.130491,2.082991
122,44712.67837,12.210122,1004,0.012478,13.44657,0.131224,0.129962,0.130593,2.083031
123,44712.67837,12.310122,1004,0.012816,13.446577,0.131355,0.130039,0.130697,2.082998
